Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %
11,4.2,148,133,0,"January 29, 2022 1:40 AM",01/28/2022,-0.03,1,Ski trip,0.083,15,4.0,0.1104,4.2,4.0,0,0.069,4.0,-0.03,-85,0.0286,-0.003,0,0.231,5.0,4.0,0.718,14,0.259
16,4.2,126,139,0,"January 27, 2022 10:08 PM",01/27/2022,0.0,0,,0.0,0,4.0,0.1104,4.2,4.0,0,0.076,5.0,-0.03,-60,0.0143,-0.003,0,0.229,4.0,4.0,0.6747,19,0.278
10,4.0,126,149,0,"January 26, 2022 10:20 PM",01/26/2022,0.0,0,Spring Sem,0.083,15,4.0,0.108,4.0,4.0,0,0.076,3.0,-0.03,60,-0.0143,-0.003,0,0.226,5.0,4.0,0.6767,13,0.231
8,3.2,128,219,0,"January 25, 2022 10:41 PM",01/25/2022,0.0,0,,0.083,15,3.0,0.0984,3.2,4.0,0,0.076,2.0,-0.03,-70,0.0194,-0.003,0,0.208,4.0,3.0,0.6698,11,0.218
6,2.4,87,369,0,"January 24, 2022 11:17 PM",01/24/2022,0.0,0,,0.0,0,2.0,0.0888,2.4,3.0,0,0.09,2.0,-0.03,-75,0.0223,-0.003,0,0.168,3.0,2.0,0.5161,10,0.18
9,3.0,104,182,0,"January 23, 2022 10:54 PM",01/23/2022,0.0,0,,0.083,15,2.0,0.096,3.0,3.0,0,0.084,3.0,-0.03,107,-0.0453,-0.003,0,0.218,4.0,3.0,0.6107,13,0.208
0,1.2,82,392,0,"January 23, 2022 12:27 AM",01/22/2022,0.0,0,,0.0,0,1.0,0.0744,1.2,1.0,0,0.092,1.0,-0.03,60,-0.0143,-0.003,0,0.162,2.0,1.0,0.2811,10,0.0
2,2.6,111,240,0,"January 22, 2022 2:35 AM",01/21/2022,-0.03,1,,0.0,0,2.0,0.0912,2.6,3.0,0,0.082,2.0,-0.03,60,-0.0143,-0.003,0,0.202,4.0,2.0,0.3579,10,0.06
7,3.2,81,180,0,"January 21, 2022 12:36 AM",01/20/2022,-0.03,1,,0.0,0,3.0,0.0984,3.2,3.0,0,0.093,3.0,-0.03,1,0.0,-0.003,0,0.218,4.0,3.0,0.5214,12,0.175
6,2.0,55,300,0,"January 19, 2022 11:17 PM",01/19/2022,0.0,0,,0.0,0,2.0,0.084,2.0,2.0,0,0.102,2.0,-0.03,90,-0.0321,-0.003,0,0.186,2.0,2.0,0.4569,12,0.15
12,3.8,103,152,0,"January 18, 2022 11:58 PM",01/18/2022,0.0,0,,0.083,15,4.0,0.1056,3.8,4.0,0,0.085,3.0,-0.03,-155,0.0951,-0.003,0,0.226,5.0,3.0,0.8447,14,0.283
