Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Key words,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %
16,4.4,123,162,0,"February 28, 2022 11:04 PM",02/28/2022,0.0,0,,"Productive, Study, Tutor",0.083,15,4.0,0.1128,4.4,5.0,10,0.078,5.0,0.015,22,-0.0019,-0.003,0,0.223,4.0,4.0,0.7849,19,0.278
10,3.2,64,186,0,"February 28, 2022 12:07 AM",02/27/2022,0.0,0,,"Frustration, Home, Study",0.0,0,3.0,0.0984,3.2,3.0,0,0.099,3.0,-0.03,180,-0.1283,-0.003,0,0.216,3.0,4.0,0.4581,16,0.206
2,1.0,93,231,0,"February 27, 2022 12:56 AM",02/26/2022,-0.03,1,,"Drink, Netflix, Youtube",0.0,0,1.0,0.072,1.0,1.0,0,0.088,1.0,-0.03,50,-0.0099,-0.003,0,0.205,1.0,1.0,0.3391,14,0.047
9,3.0,149,232,0,"February 26, 2022 12:50 AM",02/25/2022,-0.03,1,,"Drink, Netflix, Poker",0.083,15,3.0,0.096,3.0,3.0,0,0.068,2.0,-0.03,30,-0.0036,-0.003,0,0.204,4.0,3.0,0.5704,16,0.186
12,3.0,107,184,0,"February 24, 2022 11:38 PM",02/24/2022,0.0,0,,"Data Analytics, Study, Trey",0.083,15,3.0,0.096,3.0,3.0,0,0.083,3.0,-0.03,-15,0.0009,-0.003,0,0.217,4.0,2.0,0.6799,17,0.233
7,3.8,126,138,0,"February 23, 2022 10:50 PM",02/23/2022,0.0,0,,"Busy, Exam, Study",0.028,5,4.0,0.1056,3.8,4.0,0,0.076,4.0,-0.03,-25,0.0025,-0.003,0,0.229,4.0,3.0,0.5701,13,0.162
13,3.4,79,182,0,"February 22, 2022 10:11 PM",02/22/2022,0.0,0,,,0.055,10,3.0,0.1008,3.4,3.0,0,0.093,4.0,-0.03,-30,0.0036,-0.003,0,0.218,4.0,3.0,0.7434,14,0.306
15,4.4,81,100,0,"February 21, 2022 10:46 PM",02/21/2022,0.0,0,,,0.083,15,5.0,0.1128,4.4,5.0,16,0.093,4.0,0.025,0,0.0,-0.003,0,0.239,4.0,4.0,0.8588,16,0.309
13,2.6,52,180,0,"February 20, 2022 10:38 PM",02/20/2022,0.0,0,,,0.083,15,3.0,0.0912,2.6,3.0,21,0.103,2.0,0.032,30,-0.0036,-0.003,0,0.218,3.0,2.0,0.7586,18,0.238
12,3.8,41,108,0,"February 19, 2022 10:59 PM",02/19/2022,0.0,0,Sat,,0.083,15,4.0,0.1056,3.8,4.0,39,0.107,3.0,0.06,100,-0.0396,-0.003,0,0.237,4.0,4.0,0.798,16,0.248
8,2.2,60,310,0,"February 18, 2022 11:22 PM",02/18/2022,-0.03,1,,,0.0,0,2.0,0.0864,2.2,2.0,0,0.1,2.0,-0.03,-5,0.0001,-0.003,0,0.184,3.0,2.0,0.4725,16,0.165
12,2.2,76,155,0,"February 17, 2022 10:04 PM",02/17/2022,0.0,0,,,0.083,15,2.0,0.0864,2.2,2.0,17,0.094,2.0,0.026,-40,0.0063,-0.003,0,0.225,2.0,3.0,0.7507,17,0.233
