Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
10,3,80,201,0,"Mar 31, 2021 12:38 AM",03/30/2021,0.0,0,0.028,5,0.096,0,0.168,-0.03,240,-0.2281,-0.003,0.0,0.213,0.4359,13,0.192
11,5,91,159,1,"Mar 30, 2021 12:53 AM",03/29/2021,0.0,0,0.083,15,0.12,46,0.161,0.026,90,-0.0321,-0.003,0.0,0.224,0.8289,11,0.25
7,3,83,364,0,"Mar 29, 2021 12:10 AM",03/28/2021,0.0,0,0.0,0,0.096,33,0.166,0.018,210,-0.1747,-0.003,0.0,0.169,0.4303,11,0.159
9,4,44,224,0,"Mar 28, 2021 2:54 AM",03/27/2021,0.0,0,0.0,0,0.108,39,0.191,0.022,210,-0.1747,-0.003,0.0,0.206,0.5223,13,0.173
8,3,55,246,0,"Mar 27, 2021 1:44 AM",03/26/2021,0.0,0,0.0,0,0.096,0,0.184,-0.03,206,-0.1681,-0.003,0.0,0.201,0.4469,12,0.167
10,5,53,97,0,"Mar 26, 2021 1:25 AM",03/25/2021,0.0,0,0.0,0,0.12,0,0.185,-0.03,60,-0.0143,-0.003,0.0,0.24,0.6807,15,0.183
14,4,67,140,0,"Mar 25, 2021 1:56 AM",03/24/2021,0.0,0,0.083,15,0.108,0,0.176,-0.03,82,-0.0266,-0.003,0.0,0.229,0.7764,16,0.24
7,3,63,275,0,"Mar 24, 2021 12:39 AM",03/23/2021,0.0,0,0.0,0,0.096,32,0.179,0.018,135,-0.0722,-0.003,0.0,0.193,0.5698,11,0.159
11,3,55,106,0,"Mar 23, 2021 1:18 AM",03/22/2021,0.0,0,0.083,15,0.096,47,0.184,0.026,114,-0.0515,-0.003,0.0,0.238,0.8015,12,0.229
7,4,56,193,0,"Mar 22, 2021 2:51 AM",03/21/2021,0.0,0,0.0,0,0.108,0,0.183,-0.03,170,-0.1145,-0.003,0.0,0.215,0.5045,12,0.146
13,5,55,139,0,"Mar 21, 2021 2:36 AM",03/20/2021,0.0,0,0.083,15,0.12,0,0.184,-0.03,105,-0.0437,-0.003,0.0,0.229,0.7943,14,0.255
14,5,99,91,0,"Mar 20, 2021 12:01 AM",03/19/2021,0.0,0,0.083,15,0.12,25,0.156,0.014,95,-0.0357,-0.003,0.0,0.242,0.8323,15,0.256
8,3,83,120,0,"Mar 19, 2021 12:01 AM",03/18/2021,0.0,0,0.0,0,0.096,63,0.166,0.035,114,-0.0515,-0.003,0.0,0.234,0.6585,11,0.182
12,3,58,168,0,"Mar 18, 2021 12:00 AM",03/17/2021,0.0,0,0.083,15,0.096,30,0.182,0.017,0,0.0,-0.003,0.0,0.221,0.831,14,0.235
13,4,78,120,0,"Mar 16, 2021 11:07 PM",03/16/2021,0.0,0,0.083,15,0.108,64,0.169,0.036,-4,0.0001,-0.003,0.0,0.234,0.8771,13,0.25
12,5,69,107,0,"Mar 16, 2021 1:25 AM",03/15/2021,0.0,0,0.083,15,0.12,31,0.175,0.017,96,-0.0365,-0.003,0.0,0.238,0.8435,12,0.25
13,4,88,106,0,"Mar 15, 2021 2:11 AM",03/14/2021,0.0,0,0.083,15,0.108,0,0.163,-0.03,160,-0.1014,-0.003,0.0,0.238,0.6956,15,0.238
12,4,63,103,0,"Mar 14, 2021 12:51 AM",03/13/2021,0.0,0,0.083,15,0.108,40,0.179,0.022,120,-0.057,-0.003,0.0,0.239,0.777,16,0.206
12,5,71,146,0,"Mar 12, 2021 10:25 AM",03/12/2021,-0.03,1,0.083,15,0.12,46,0.174,0.026,60,-0.0143,0.0087,0.74,0.227,0.8254,13,0.231
