Name,*Finished,*Multiple (1~5),*Phone pickups,*Screen time,Books finished,Created,Date,Drink (%),Drink? (over 3 beer),Events,Key words,Meditation (%),Meditation (min),Mentality,Multiple (%),Multiple EST,Overall Satisfaction,Personal Reading,Pick up (%),Productivity,Reading (%),Rise time,Rise time (%),Run (%),Run (km),Screen Time (%),Social,Tech Consumption,Total,Total To-do List,Work done (%)
Take off,16,5,102,131,0,"March 31, 2022 12:21 AM",03/30/2022,0,0,,"Productive, Satisfied, Study",0.083,15,⭐️⭐️⭐️⭐️⭐️,0.12,5,⭐️⭐️⭐️⭐️⭐️,0,0.085,⭐️⭐️⭐️⭐️⭐️,-0.03,-2,0,-0.003,0,0.231,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,0.797,17,0.311
Not enough,12,3.4,50,184,0,"March 30, 2022 1:05 AM",03/29/2022,0,0,,"Frustration, Study, Work Search",0.083,15,⭐️⭐️⭐️,0.1008,3.4,⭐️⭐️⭐️⭐️,0,0.104,⭐️⭐️⭐️,-0.03,6,-0.0001,-0.003,0,0.217,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️,0.7197,16,0.248
Right back up,9,1.8,76,172,0,"March 28, 2022 11:07 PM",03/28/2022,0,0,,"Frustration, Lazy, Overwhelmed",0,0,⭐️⭐️,0.0816,1.8,⭐️⭐️,0,0.094,⭐️⭐️,-0.03,-68,0.0183,-0.003,0,0.22,⭐️⭐️,⭐️,0.5789,15,0.198
"Disappointment ",2,2.8,82,85,0,"March 27, 2022 11:09 PM",03/27/2022,0,0,,"Headache, Real Analysis, Study",0,0,⭐️⭐️⭐️,0.0936,2.8,⭐️⭐️,0,0.092,⭐️⭐️⭐️,-0.03,180,-0.1283,-0.003,0,0.243,⭐️⭐️⭐️,⭐️⭐️⭐️,0.3223,11,0.055
Saturday,8,1.8,48,178,0,"March 27, 2022 11:39 AM",03/26/2022,0,0,,"Lazy, Movies, Relax",0.083,15,⭐️⭐️,0.0816,1.8,⭐️⭐️,11,0.104,⭐️,0.017,60,-0.0143,-0.003,0,0.219,⭐️⭐️,⭐️⭐️,0.6523,16,0.165
Said No,12,4,71,93,0,"March 25, 2022 11:49 PM",03/25/2022,0,0,,"Crypto, Real Analysis, Study",0.083,15,⭐️⭐️⭐️⭐️,0.108,4,⭐️⭐️⭐️⭐️,0,0.096,⭐️⭐️⭐️⭐️,-0.03,30,-0.0036,-0.003,0,0.241,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️,0.7684,13,0.277
Vocabulary Algorithm,14,4.6,62,177,0,"March 25, 2022 1:17 AM",03/24/2022,0,0,,"Happy, Productive, Python",0.083,15,⭐️⭐️⭐️⭐️⭐️,0.1152,4.6,⭐️⭐️⭐️⭐️⭐️,0,0.099,⭐️⭐️⭐️⭐️⭐️,-0.03,-30,0.0036,-0.003,0,0.219,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️,0.7948,15,0.308
Your boy is back,14,4.4,78,111,0,"March 23, 2022 11:29 PM",03/23/2022,0,0,,"Productive, Project, Statistics",0.083,15,⭐️⭐️⭐️⭐️,0.1128,4.4,⭐️⭐️⭐️⭐️⭐️,0,0.094,⭐️⭐️⭐️⭐️⭐️,-0.03,85,-0.0286,-0.003,0,0.236,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,0.7532,16,0.289
Missed Class for the first time,7,2,70,222,0,"March 23, 2022 12:13 AM",03/22/2022,0,0,,"Lethargic, Real Analysis, Tired",0.083,15,⭐️,0.084,2,⭐️⭐️,0,0.096,⭐️⭐️,-0.03,208,-0.1713,-0.003,0,0.207,⭐️⭐️⭐️,⭐️⭐️,0.4307,14,0.165
Ready Set,11,3,69,278,0,"March 21, 2022 11:20 PM",03/21/2022,0,0,Break Ended,"Project, Social, Study",0,0,⭐️⭐️⭐️,0.096,3,⭐️⭐️⭐️,0,0.097,⭐️⭐️⭐️,-0.03,120,-0.057,-0.003,0,0.192,⭐️⭐️⭐️⭐️,⭐️⭐️,0.509,17,0.214
Not satisfied,10,2.6,60,248,0,"March 20, 2022 11:36 PM",03/20/2022,0,0,,"Home, Study, Technology",0.083,15,⭐️⭐️,0.0912,2.6,⭐️⭐️⭐️,23,0.1,⭐️⭐️,0.035,85,-0.0286,-0.003,0,0.2,⭐️⭐️⭐️⭐️,⭐️⭐️,0.7276,12,0.25
Rising to the surface,9,3.4,40,312,0,"March 20, 2022 12:44 AM",03/19/2022,0,0,,"Home, Project, Study",0.083,15,⭐️⭐️⭐️,0.1008,3.4,⭐️⭐️⭐️⭐️,0,0.107,⭐️⭐️⭐️⭐️,-0.03,150,-0.0891,-0.003,0,0.183,⭐️⭐️⭐️⭐️,⭐️⭐️,0.5637,14,0.212
2nd Adams project,5,2.6,70,221,0,"March 19, 2022 12:49 AM",03/18/2022,0,0,,"Friends, Movies, Project",0.083,15,⭐️⭐️⭐️,0.0912,2.6,⭐️⭐️,16,0.096,⭐️⭐️,0.025,150,-0.0891,-0.003,0,0.207,⭐️⭐️⭐️,⭐️⭐️⭐️,0.5261,13,0.116
"Procrastination ",7,3.2,79,155,0,"March 17, 2022 11:40 PM",03/17/2022,0,0,,"Home, Pathrise, Project",0.083,15,⭐️⭐️⭐️,0.0984,2.8,⭐️⭐️,0,0.093,⭐️⭐️⭐️,-0.03,222,-0.1952,-0.003,0,0.225,⭐️⭐️⭐️,⭐️⭐️⭐️,0.4332,13,0.162
CPR,2,2,65,243,0,"March 17, 2022 12:46 AM",03/16/2022,0,0,,"Movies, Project, Technology",0,0,⭐️⭐️,0.084,2,⭐️⭐️,0,0.098,⭐️⭐️,-0.03,120,-0.057,-0.003,0,0.201,⭐️⭐️,⭐️⭐️,0.36,9,0.067
No Phone Policy,2,1.6,31,39,0,"March 16, 2022 1:45 AM",03/15/2022,-0.03,1,,"Home, Relax, Technology",0,0,⭐️⭐️,0.0792,1.6,⭐️⭐️,0,0.11,⭐️,-0.03,120,-0.057,-0.003,0,0.256,⭐️⭐️,⭐️,0.3852,10,0.06
Time wasted,0,1,37,497,0,"March 15, 2022 12:32 AM",03/14/2022,-0.03,1,,"Drink, Netflix, Technology",0,0,⭐️,0.072,1,⭐️,0,0.108,⭐️,-0.03,120,-0.057,-0.003,0,0.134,⭐️,⭐️,0.194,10,0
Make it count,4,2.4,51,187,0,"March 14, 2022 12:00 AM",03/13/2022,0,0,,"Break, Home, Movies",0.083,15,⭐️⭐️,0.0888,2.4,⭐️⭐️⭐️,31,0.103,⭐️⭐️,0.048,225,-0.2005,-0.003,0,0.216,⭐️⭐️⭐️,⭐️⭐️,0.4443,11,0.109
The laziest day,0,1,40,600,0,"March 13, 2022 11:51 AM",03/12/2022,-0.03,1,,"Break, Lazy, Movies",0,0,⭐️,0.072,1,⭐️,0,0.107,⭐️,-0.03,75,-0.0223,-0.003,0,0.106,⭐️,⭐️,0.1997,10,0
Korean BBQ,7,3.8,98,212,0,"March 12, 2022 1:10 AM",03/11/2022,-0.03,1,Spring Break,"Break, Drink, Poker",0,0,⭐️⭐️⭐️⭐️,0.1056,3.8,⭐️⭐️⭐️⭐️,0,0.086,⭐️⭐️⭐️⭐️,-0.03,-15,0.0009,-0.003,0,0.21,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️,0.5495,10,0.21
Grind before the break,10,3.6,78,210,0,"March 10, 2022 11:57 PM",03/10/2022,0,0,,"Exam, Real Analysis, Study",0,0,⭐️⭐️⭐️⭐️,0.1032,3.6,⭐️⭐️⭐️⭐️,0,0.094,⭐️⭐️⭐️⭐️,-0.03,-40,0.0063,-0.003,0,0.21,⭐️⭐️⭐️,⭐️⭐️⭐️,0.5865,16,0.206
Just a phase,12,3,103,79,0,"March 9, 2022 9:41 PM",03/09/2022,0,0,,"Frustration, Overwhelmed, Study",0,0,⭐️⭐️,0.096,3,⭐️⭐️,0,0.085,⭐️⭐️⭐️⭐️,-0.03,20,-0.0016,-0.003,0,0.245,⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,0.6554,15,0.264
Study day,13,3,88,174,0,"March 8, 2022 11:10 PM",03/08/2022,0,0,,"Busy, Home, Study",0,0,⭐️⭐️⭐️,0.096,3,⭐️⭐️⭐️,0,0.09,⭐️⭐️⭐️,-0.03,-35,0.0049,-0.003,0,0.22,⭐️⭐️⭐️⭐️,⭐️⭐️,0.6459,16,0.268
Successful tutoring session,15,4.2,66,131,0,"March 7, 2022 11:06 PM",03/07/2022,0,0,,"Busy, Study, Tutor",0.028,5,⭐️⭐️⭐️,0.1104,4.2,⭐️⭐️⭐️⭐️,0,0.098,⭐️⭐️⭐️⭐️,-0.03,60,-0.0143,-0.003,0,0.231,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,0.6951,18,0.275
"3 hours spent for DANL 310 ",6,3.8,45,105,0,"March 6, 2022 11:57 PM",03/06/2022,0,0,,"Frustration, Overwhelmed, Study",0.028,5,⭐️⭐️⭐️⭐️,0.1056,3.8,⭐️⭐️⭐️,0,0.105,⭐️⭐️⭐️,-0.03,45,-0.008,-0.003,0,0.238,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,0.5676,15,0.132
Statistics Project,12,2.6,49,244,0,"March 6, 2022 12:24 AM",03/05/2022,-0.03,1,,"Drink, Home, Relax",0.055,10,⭐️⭐️,0.0912,2.6,⭐️⭐️⭐️,0,0.104,⭐️⭐️,-0.03,60,-0.0143,-0.003,0,0.201,⭐️⭐️⭐️⭐️,⭐️⭐️,0.5819,19,0.208
Poker night,12,4.6,132,103,0,"March 4, 2022 11:34 PM",03/04/2022,-0.03,1,,"Drink, Friends, Poker",0.028,5,⭐️⭐️⭐️⭐️,0.1152,4.6,⭐️⭐️⭐️⭐️,0,0.074,⭐️⭐️⭐️⭐️⭐️,-0.03,82,-0.0266,-0.003,0,0.239,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️⭐️,0.6496,14,0.283
Mediocre,16,3.2,106,179,0,"March 3, 2022 10:33 PM",03/03/2022,0,0,,"Busy, Overwhelmed, Tired",0.083,15,⭐️⭐️⭐️,0.0984,3.2,⭐️⭐️⭐️⭐️,0,0.084,⭐️⭐️⭐️,-0.03,-72,0.0205,-0.003,0,0.218,⭐️⭐️⭐️⭐️,⭐️⭐️,0.7349,20,0.264
Feeling Good,16,3.2,111,131,0,"March 2, 2022 11:49 PM",03/02/2022,0,0,,"Busy, Project, Statistics",0.083,15,⭐️⭐️⭐️,0.0984,3.2,⭐️⭐️⭐️,0,0.082,⭐️⭐️⭐️,-0.03,-27,0.0029,-0.003,0,0.231,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,0.7283,20,0.264
