Date,Finished,Multiple,Phone pickups,Screen time,Created,Meditation %,Meditation,Multiple %,Pick up %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
9/29/20,6,5,123,326,9/30/20 3:32,0.013,10.0,0.12,0.14,120.0,-0.057,0.0,,0.205,0.557,11,0.136
9/28/20,9,5,82,257,9/28/20 11:33,0.013,10.0,0.12,0.167,-30.0,0.0036,0.0,,0.224,0.7326,11,0.205
9/27/20,6,4,60,338,9/28/20 1:23,0.0,0.0,0.108,0.181,0.0,0.0,0.0,,0.202,0.658,9,0.167
9/26/20,11,4,51,237,9/26/20 12:54,0.011,8.0,0.108,0.187,0.0,0.0,0.0,,0.229,0.764,12,0.229
9/25/20,13,5,97,252,9/25/20 10:05,0.017,13.0,0.12,0.157,30.0,-0.0036,0.0,,0.225,0.7474,14,0.232
9/24/20,11,4,80,309,9/25/20 0:24,0.008,6.0,0.108,0.168,90.0,-0.0321,0.0,,0.21,0.6629,15,0.201
9/23/20,16,4,102,223,9/23/20 23:23,0.013,10.0,0.108,0.154,30.0,-0.0036,0.0,,0.233,0.7634,17,0.259
9/22/20,13,5,57,271,9/22/20 14:25,0.009,7.0,0.12,0.183,25.0,-0.0025,0.018,1.53,0.22,0.7855,15,0.238
9/18/20,11,3,125,211,9/21/20 23:41,0.0,0.0,0.096,0.139,,0.0,0.0,,0.236,0.683,13,0.212
9/17/20,8,7,56,390,9/21/20 1:21,0.0,,0.144,0.183,,0.0,0.0146,1.24,0.188,0.7516,9,0.222
