Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
11,4,79,183,0,"October 31, 2021 10:46 PM",10/31/2021,0.0,0,,0.0,0,0.108,0,0.093,-0.03,70,-0.0194,-0.003,0.0,0.217,0.6246,14,0.259
2,2,64,265,0,"October 31, 2021 1:02 AM",10/30/2021,0.0,0,,0.0,0,0.084,0,0.099,-0.03,120,-0.057,-0.003,0.0,0.195,0.335,14,0.047
13,3,110,241,0,"October 30, 2021 9:55 AM",10/29/2021,-0.03,1,Fri,0.083,15,0.096,18,0.082,0.028,-119,0.0561,-0.003,0.0,0.202,0.8201,14,0.306
11,2,100,286,0,"October 28, 2021 11:49 PM",10/28/2021,0.0,0,,0.061,11,0.084,13,0.086,0.02,-81,0.026,-0.003,0.0,0.19,0.723,14,0.259
15,4,117,180,0,"October 27, 2021 10:23 PM",10/27/2021,0.0,0,,0.094,17,0.108,33,0.08,0.051,-120,0.057,-0.003,0.0,0.218,0.896,17,0.291
15,4,113,98,0,"October 26, 2021 10:27 PM",10/26/2021,0.0,0,Deal,0.088,16,0.108,38,0.081,0.058,-122,0.0589,-0.003,0.0,0.24,0.9059,18,0.275
20,5,145,144,0,"October 25, 2021 11:08 PM",10/25/2021,0.0,0,,0.088,16,0.12,25,0.07,0.038,30,-0.0036,-0.003,0.0,0.228,0.8514,21,0.314
15,4,96,133,0,"October 24, 2021 11:24 PM",10/24/2021,0.0,0,,0.077,14,0.108,26,0.087,0.04,117,-0.0542,-0.003,0.0,0.231,0.7948,16,0.309
8,2,82,102,0,"October 23, 2021 11:48 PM",10/23/2021,-0.03,1,,0.055,10,0.084,0,0.092,-0.03,84,-0.0279,-0.003,0.0,0.239,0.5681,14,0.189
10,3,96,221,0,"October 22, 2021 11:34 PM",10/22/2021,0.0,0,Fri,0.066,12,0.096,25,0.087,0.038,45,-0.008,-0.003,0.0,0.207,0.703,15,0.22
