Date,Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Drink %,Drink,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
11/30/20,17,5,124,198,,11/30/20 23:31,0.0,0.0,0.083,15,0.12,25.0,0.14,0.014,8.0,-0.0003,0,,0.213,0.8447,17,0.275
11/29/20,16,4,60,152,1.0,11/30/20 0:32,0.0,0.0,0.083,15,0.108,20.0,0.181,0.011,0.0,0.0,0,,0.226,0.868,17,0.259
11/28/20,7,2,63,604,,11/29/20 0:35,0.0,0.0,0.0,0,0.084,0.0,0.179,-0.03,0.0,0.0,0,,0.105,0.473,13,0.135
11/27/20,9,3,161,389,,11/28/20 0:32,0.0,0.0,0.0,0,0.096,,0.116,0.0,0.0,0.0,0,,0.163,0.548,13,0.173
11/26/20,6,2,96,387,,11/27/20 1:50,0.0,0.0,0.0,0,0.084,0.0,0.158,-0.03,0.0,0.0,0,,0.163,0.525,10,0.15
11/25/20,4,3,107,201,,11/26/20 17:13,-0.03,1.0,0.0,0,0.096,0.0,0.151,-0.03,0.0,0.0,0,,0.213,0.5,10,0.1
11/24/20,9,3,97,207,,11/24/20 14:11,0.0,0.0,0.083,15,0.096,0.0,0.157,-0.03,120.0,-0.057,0,,0.211,0.685,10,0.225
11/23/20,7,3,119,161,,11/23/20 23:24,-0.03,1.0,0.0,0,0.096,0.0,0.143,-0.03,80.0,-0.0253,0,,0.223,0.5357,11,0.159
11/22/20,9,2,60,331,,11/23/20 0:43,0.0,0.0,0.083,15,0.084,0.0,0.181,-0.03,0.0,0.0,0,,0.178,0.701,11,0.205
11/21/20,11,3,89,404,,11/22/20 1:48,0.0,0.0,0.055,10,0.096,0.0,0.162,-0.03,0.0,0.0,0,,0.159,0.654,13,0.212
11/20/20,14,4,139,14,,11/20/20 11:56,0.0,0.0,0.055,10,0.108,0.0,0.13,-0.03,157.0,-0.0976,0,,0.262,0.6774,14,0.25
11/19/20,15,5,101,196,,11/19/20 23:55,0.0,0.0,0.055,10,0.12,0.0,0.154,-0.03,0.0,0.0,0,,0.214,0.788,15,0.275
11/18/20,9,3,99,136,,11/18/20 18:50,0.0,0.0,0.055,10,0.096,0.0,0.156,-0.03,120.0,-0.057,0,,0.23,0.655,11,0.205
11/17/20,7,3,113,88,,11/17/20 10:57,-0.03,1.0,0.083,15,0.096,0.0,0.147,-0.03,40.0,-0.0063,0,,0.243,0.6617,11,0.159
11/16/20,13,4,100,209,,11/16/20 10:13,0.0,0.0,0.055,10,0.108,0.0,0.155,-0.03,26.0,-0.0027,0,,0.21,0.7273,14,0.232
11/15/20,10,3,58,331,,11/16/20 1:37,0.0,0.0,0.083,15,0.096,0.0,0.182,-0.03,0.0,0.0,0,,0.178,0.736,11,0.227
11/14/20,6,3,82,290,,11/14/20 0:28,-0.03,1.0,0.083,15,0.096,0.0,0.167,-0.03,0.0,0.0,0,,0.189,0.625,10,0.15
11/13/20,14,5,95,160,,11/13/20 9:36,0.0,0.0,0.083,15,0.12,0.0,0.158,-0.03,36.0,-0.0051,0,,0.223,0.7989,14,0.25
11/12/20,11,4,98,105,,11/12/20 10:37,0.0,0.0,0.083,15,0.108,0.0,0.156,-0.03,90.0,-0.0321,0,,0.238,0.7519,12,0.229
11/11/20,7,3,80,280,,11/11/20 16:30,0.0,0.0,0.055,10,0.096,0.0,0.168,-0.03,180.0,-0.1283,0,,0.191,0.4867,13,0.135
11/10/20,14,4,113,152,,11/10/20 10:47,-0.03,1.0,0.083,15,0.108,32.0,0.147,0.018,-15.0,0.0009,0,,0.226,0.7929,16,0.24
11/9/20,17,5,67,94,,11/9/20 12:35,0.0,,0.083,15,0.12,30.0,0.176,0.017,0.0,0.0,0,,0.241,0.912,17,0.275
11/8/20,14,4,56,155,,11/8/20 13:31,0.0,,0.055,10,0.108,12.0,0.183,0.007,0.0,0.0,0,,0.225,0.828,14,0.25
11/7/20,9,4,67,159,,11/8/20 1:39,0.0,,0.0,0,0.108,0.1,0.176,0.0,,0.0,0,,0.224,0.653,17,0.145
11/6/20,16,4,116,198,,11/6/20 11:34,-0.03,1.0,0.055,10,0.108,10.0,0.145,0.006,150.0,-0.0891,0,,0.213,0.6829,16,0.275
11/5/20,16,4,118,185,,11/5/20 12:18,0.0,,0.055,10,0.108,37.0,0.143,0.021,30.0,-0.0036,0,,0.217,0.7994,17,0.259
11/4/20,17,4,93,315,,11/4/20 15:56,0.0,,0.055,10,0.108,30.0,0.16,0.017,150.0,-0.0891,0,,0.182,0.6919,18,0.259
11/3/20,10,3,121,313,,11/3/20 15:08,0.0,,0.0,0,0.096,60.0,0.141,0.033,300.0,-0.3564,0,,0.183,0.2886,13,0.192
11/2/20,11,4,76,180,,11/2/20 12:55,0.0,,0.055,10,0.108,0.0,0.171,-0.03,200.0,-0.1584,0,,0.218,0.6136,11,0.25
11/1/20,7,2,88,740,,10/31/20 19:04,0.0,,0.028,5,0.084,0.0,0.163,-0.03,0.0,0.0,0,,0.069,0.489,10,0.175
