Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity & Focus,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %
5,3.4,40,180,0,"December 26, 2021 12:42 AM",12/25/2021,-0.03,1,Trey’s Party,0.0,0,3.0,0.1008,3.4,3.0,0,0.107,⭐️⭐️⭐️,-0.03,70,-0.0194,-0.003,0,0.218,4.0,4.0,0.4804,11,0.137
5,2.6,112,251,0,"December 24, 2021 11:48 PM",12/24/2021,0.0,0,,0.0,0,3.0,0.0912,2.6,2.0,0,0.081,⭐️⭐️⭐️,-0.03,-15,0.0009,-0.003,0,0.199,3.0,2.0,0.4891,10,0.15
3,3.4,69,185,0,"December 24, 2021 12:09 AM",12/23/2021,-0.03,1,,0.0,0,4.0,0.1008,3.4,4.0,0,0.097,⭐️⭐️⭐️,-0.03,150,-0.0891,-0.003,0,0.217,3.0,3.0,0.3757,8,0.113
2,2.8,77,411,0,"December 23, 2021 12:38 AM",12/22/2021,0.0,0,Winter Break,0.0,0,3.0,0.0936,2.8,4.0,0,0.094,⭐️⭐️⭐️,-0.03,150,-0.0891,-0.003,0,0.157,3.0,1.0,0.2975,8,0.075
8,3.6,107,314,0,"December 22, 2021 3:02 PM",12/21/2021,0.0,0,Exams Finished,0.0,0,4.0,0.1032,3.6,5.0,0,0.083,⭐️⭐️⭐️,-0.03,27,-0.0029,-0.003,0,0.182,5.0,1.0,0.5503,11,0.218
10,3.6,116,343,0,"December 20, 2021 10:44 PM",12/20/2021,0.0,0,,0.122,22,4.0,0.1032,3.6,4.0,0,0.08,⭐️⭐️⭐️⭐️,-0.03,-83,0.0273,-0.003,0,0.175,4.0,2.0,0.7475,11,0.273
9,3.8,105,284,0,"December 19, 2021 11:06 PM",12/19/2021,0.0,0,,0.083,15,4.0,0.1056,3.8,3.0,0,0.084,⭐️⭐️⭐️⭐️,-0.03,60,-0.0143,-0.003,0,0.19,4.0,4.0,0.6613,11,0.246
7,3.4,88,248,0,"December 19, 2021 12:25 AM",12/18/2021,0.0,0,,0.0,0,3.0,0.1008,3.4,4.0,0,0.09,⭐️⭐️⭐️⭐️,-0.03,0,0.0,-0.003,0,0.2,3.0,3.0,0.5488,11,0.191
12,4.0,133,380,0,"December 17, 2021 11:04 PM",12/17/2021,0.0,0,,0.138,25,4.0,0.108,4.0,4.0,0,0.074,⭐️⭐️⭐️⭐️,-0.03,48,-0.0091,-0.003,0,0.165,5.0,3.0,0.7069,15,0.264
8,3.4,97,201,0,"December 16, 2021 10:26 PM",12/16/2021,0.0,0,,0.083,15,3.0,0.1008,3.4,4.0,0,0.087,⭐️⭐️⭐️⭐️,-0.03,100,-0.0396,-0.003,0,0.213,3.0,3.0,0.6782,9,0.267
8,4.4,84,120,0,"December 15, 2021 10:47 PM",12/15/2021,0.0,0,,0.0,0,4.0,0.1128,4.4,4.0,0,0.091,⭐️⭐️⭐️⭐️,-0.03,-18,0.0013,-0.003,0,0.234,5.0,5.0,0.6241,11,0.218
6,2.0,134,443,0,"December 14, 2021 11:22 PM",12/14/2021,0.0,0,,0.138,25,2.0,0.084,2.0,2.0,0,0.074,⭐️⭐️,-0.03,23,-0.0021,-0.003,0,0.148,3.0,1.0,0.5889,10,0.18
3,1.6,102,278,0,"December 13, 2021 10:07 PM",12/13/2021,0.0,0,,0.0,0,2.0,0.0792,1.6,2.0,0,0.085,⭐️,-0.03,60,-0.0143,-0.003,0,0.192,2.0,1.0,0.3779,13,0.069
0,1.4,97,367,0,"December 12, 2021 11:09 PM",12/12/2021,0.0,0,,0.0,0,2.0,0.0768,1.4,1.0,0,0.087,⭐️,-0.03,174,-0.1199,-0.003,0,0.168,2.0,1.0,0.1789,12,0.0
5,3.4,158,295,0,"December 12, 2021 1:01 AM",12/11/2021,-0.03,1,,0.0,0,3.0,0.1008,3.4,3.0,0,0.065,⭐️⭐️⭐️,-0.03,48,-0.0091,-0.003,0,0.188,4.0,4.0,0.3977,13,0.116
12,4.0,132,242,0,"December 10, 2021 11:24 PM",12/10/2021,-0.03,1,,0.083,15,4.0,0.108,4.0,4.0,10,0.074,⭐️⭐️⭐️,0.015,-36,0.0051,-0.003,0,0.202,5.0,4.0,0.7021,16,0.248
11,3.8,140,161,0,"December 9, 2021 10:37 PM",12/09/2021,0.0,0,,0.083,15,3.0,0.1056,3.8,4.0,11,0.071,⭐️⭐️⭐️⭐️,0.017,30,-0.0036,-0.003,0,0.223,4.0,4.0,0.752,14,0.259
14,3.4,165,115,0,"December 9, 2021 12:18 AM",12/08/2021,0.0,0,,0.083,15,3.0,0.1008,3.4,3.0,20,0.063,⭐️⭐️⭐️⭐️,0.031,-30,0.0036,-0.003,0,0.235,3.0,4.0,0.7704,18,0.257
13,2.0,92,400,0,"December 7, 2021 11:18 PM",12/07/2021,0.0,0,,0.083,15,2.0,0.084,2.0,2.0,13,0.089,⭐️⭐️,0.02,30,-0.0036,-0.003,0,0.16,3.0,1.0,0.7294,13,0.3
11,3.6,110,230,0,"December 6, 2021 11:33 PM",12/06/2021,0.0,0,,0.083,15,3.0,0.1032,3.6,4.0,0,0.082,⭐️⭐️⭐️,-0.03,120,-0.057,-0.003,0,0.205,5.0,3.0,0.6252,15,0.242
5,2.2,110,291,0,"December 5, 2021 11:07 PM",12/05/2021,0.0,0,,0.122,22,3.0,0.0864,2.2,2.0,0,0.082,⭐️,-0.03,47,-0.0087,-0.003,0,0.189,3.0,2.0,0.5557,14,0.118
8,2.6,124,262,0,"December 5, 2021 8:50 AM",12/04/2021,-0.03,1,,0.138,25,2.0,0.0912,2.6,3.0,0,0.077,⭐️⭐️,-0.03,117,-0.0542,-0.003,0,0.196,4.0,2.0,0.574,14,0.189
13,4.2,114,207,0,"December 4, 2021 12:03 AM",12/03/2021,0.0,0,Fri,0.083,15,4.0,0.1104,4.2,4.0,16,0.081,⭐️⭐️⭐️⭐️,0.025,-45,0.008,-0.003,0,0.211,5.0,4.0,0.7674,17,0.252
13,2.8,124,272,0,"December 2, 2021 11:00 PM",12/02/2021,0.0,0,,0.055,10,2.0,0.0936,2.8,3.0,15,0.077,⭐️⭐️⭐️,0.023,38,-0.0057,-0.003,0,0.194,4.0,2.0,0.7399,14,0.306
13,2.8,132,175,0,"December 1, 2021 10:18 PM",12/01/2021,0.0,0,,0.055,10,2.0,0.0936,2.8,3.0,0,0.074,⭐️⭐️,-0.03,-30,0.0036,-0.003,0,0.219,3.0,4.0,0.6982,15,0.286
