,tot_durationEST,tot_numTasks,fin_durationEST,fin_numTasks,rem_durationEST,rem_numTasks,Date
0,7hr 0min,5,3hr 0min,2,4hr 0min,3,6/4/2022
1,5hr 50min,5,5hr 50min,5,0hr 0min,0,6/5/2022
2,5hr 50min,5,0hr 20min,1,5hr 30min,4,6/6/2022
3,9hr 10min,8,9hr 10min,8,0hr 0min,0,6/7/2022
4,8hr 45min,8,8hr 45min,8,0hr 0min,0,6/8/2022
5,7hr 5min,9,7hr 5min,9,0hr 0min,0,6/9/2022
6,7hr 5min,6,7hr 5min,6,0hr 0min,0,6/10/2022
7,8hr 10min,9,7hr 10min,8,1hr 0min,1,06/11/2022
8,7hr 45min,8,5hr 45min,7,2hr 0min,1,06/12/2022
9,6hr 10min,8,4hr 50min,7,1hr 20min,1,06/13/2022
10,6hr 10min,7,6hr 10min,7,0hr 0min,0,06/14/2022
11,7hr 30min,9,4hr 20min,5,3hr 10min,4,06/15/2022
12,6hr 40min,8,5hr 50min,6,0hr 50min,2,06/16/2022
13,4hr 45min,6,3hr 25min,5,1hr 20min,1,06/17/2022
14,7hr 5min,5,7hr 5min,5,0hr 0min,0,06/18/2022
15,7hr 25min,6,7hr 25min,6,0hr 0min,0,06/19/2022
16,6hr 50min,5,6hr 50min,5,0hr 0min,0,06/20/2022
17,5hr 5min,4,5hr 5min,4,0hr 0min,0,06/21/2022
18,6hr 5min,7,6hr 5min,7,0hr 0min,0,06/22/2022
19,5hr 20min,8,4hr 50min,7,0hr 30min,1,06/23/2022
20,6hr 55min,7,3hr 20min,3,3hr 35min,4,06/24/2022
21,8hr 45min,7,8hr 45min,7,0hr 0min,0,06/25/2022
22,5hr 5min,4,0hr 0min,0,5hr 5min,4,06/26/2022
23,6hr 25min,7,2hr 0min,2,4hr 25min,5,07/03/2022
