,level_0,index,Date,total_checked,before_sleep_check,rise_time_check,meditation_check,reading_check,morning_thoughts_check,push_up_check
0,0,0,10/12/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,1,1,10/13/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,2,2,10/14/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,3,3,10/15/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
4,4,4,10/16/2021,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5,5,5,10/17/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,6,6,10/18/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
7,7,7,10/19/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
8,8,8,10/20/2021,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,9,9,10/21/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,10,10,10/22/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,11,11,10/23/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
12,12,12,10/24/2021,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
13,13,13,10/25/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14,14,14,10/26/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,15,15,10/27/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16,16,16,10/28/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,17,17,10/29/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,18,18,10/30/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,19,19,10/31/2021,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
20,20,20,11/1/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
21,21,21,11/2/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
22,22,22,11/3/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
23,23,23,11/4/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
24,24,24,11/5/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
25,25,25,11/6/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
26,26,26,11/7/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27,27,27,11/8/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28,28,28,11/9/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
29,29,29,11/10/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
30,30,30,11/11/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
31,31,31,11/12/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
32,32,32,11/13/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
33,33,33,11/14/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34,34,34,11/15/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
35,35,35,11/16/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36,36,36,11/17/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37,37,37,11/18/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,38,38,11/19/2021,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
39,39,39,11/20/2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
40,40,40,11/21/2021,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
41,41,41,11/22/2021,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
42,42,42,11/24/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,43,43,11/26/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,44,44,11/27/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,45,45,11/30/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
46,46,46,12/1/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
47,47,47,12/2/2021,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
48,48,48,12/3/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49,49,49,12/4/2021,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
50,50,50,12/5/2021,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
51,51,51,12/6/2021,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
52,52,52,12/7/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
53,53,53,12/8/2021,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
54,54,54,12/9/2021,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
55,55,55,12/10/2021,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
56,56,56,12/11/2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
57,57,57,12/12/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,58,58,12/13/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,59,59,12/14/2021,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
60,60,60,12/15/2021,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
61,61,61,12/16/2021,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
62,62,62,12/17/2021,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
63,63,63,12/18/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,64,64,12/19/2021,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
65,65,65,12/20/2021,3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
66,66,66,12/21/2021,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
67,67,67,12/22/2021,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
68,68,68,12/23/2021,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
69,69,69,12/24/2021,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
70,70,70,12/25/2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
71,71,71,12/26/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
72,72,72,12/28/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
73,73,73,12/29/2021,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
74,74,74,12/30/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,75,75,12/31/2021,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,76,76,1/1/2022,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
77,77,77,1/2/2022,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
78,78,78,1/3/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
79,79,79,1/4/2022,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
80,80,80,1/7/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,81,81,1/8/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
82,82,82,1/9/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
83,83,83,1/10/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
84,84,84,1/11/2022,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
85,85,85,1/12/2022,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
86,86,86,1/13/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,87,87,1/14/2022,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
88,88,88,1/15/2022,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
89,89,89,1/16/2022,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
90,90,90,1/17/2022,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
91,91,91,1/18/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
92,92,92,1/19/2022,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
93,93,93,1/20/2022,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
94,94,94,1/21/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,95,95,1/22/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,96,96,1/23/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
97,97,97,1/24/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
98,98,98,1/25/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,99,99,1/26/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
100,100,100,1/27/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
101,101,101,1/28/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
102,102,102,1/30/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,103,103,1/31/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
104,104,104,2/1/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
105,105,105,2/2/2022,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
106,106,106,2/3/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,107,107,2/4/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
108,108,108,2/5/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
109,109,109,2/6/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
110,110,110,2/7/2022,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
111,111,111,2/8/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
112,112,112,2/9/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
113,113,113,2/10/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
114,114,114,2/11/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
115,115,115,2/12/2022,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
116,116,116,2/13/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
117,117,117,2/14/2022,4,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
118,118,118,2/15/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
119,119,119,2/16/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
120,120,120,2/17/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121,121,121,2/18/2022,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
122,122,122,2/19/2022,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
123,123,123,2/20/2022,4,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
124,124,124,2/21/2022,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
125,125,125,2/22/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
126,126,126,2/23/2022,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
127,127,127,2/24/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
128,128,128,2/25/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
129,129,129,2/26/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130,130,130,2/27/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
131,131,131,2/28/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
132,132,132,3/1/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
133,133,133,3/2/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
134,134,134,3/3/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
135,135,135,3/4/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
136,136,136,3/5/2022,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
137,137,137,3/6/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
138,138,138,3/7/2022,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
139,139,139,3/8/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
140,140,140,3/9/2022,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
141,141,141,3/10/2022,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
142,142,142,3/11/2022,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
143,143,143,3/12/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144,144,144,3/13/2022,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
145,145,145,3/14/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
146,146,146,3/15/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147,147,147,3/16/2022,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
148,148,148,3/17/2022,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
149,149,149,3/18/2022,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
150,150,150,3/19/2022,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
151,151,151,3/20/2022,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
152,152,152,3/21/2022,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
