Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Key_words,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %
8,2.2,78,239,0,"June 29, 2022 9:52 PM",2022-06-29,0.0,0,"Frustration, Lethargic, Youtube",0.143,20,1.0,0.1106,2.2,2.0,0,0.052,2.0,-0.03,44,-0.0439,-0.003,0.0,0.177,4.0,2.0,0.6147,13,0.209
9,4.2,63,225,0,"June 28, 2022 11:13 PM",2022-06-28,0.0,0,"Grateful, Happy, Job Search/Interview",0.143,20,4.0,0.1566,4.2,5.0,21,0.055,4.0,0.047,50,-0.0498,-0.003,0.0,0.18,5.0,3.0,0.8228,10,0.294
12,4.0,50,115,0,"June 27, 2022 11:29 PM",2022-06-27,0.0,0,"Job Search/Interview, Productive, Satisfied",0.143,20,4.0,0.152,4.0,4.0,16,0.058,4.0,0.036,120,-0.1177,-0.003,0.0,0.206,5.0,3.0,0.8143,12,0.34
9,3.0,33,154,0,"June 26, 2022 10:57 PM",2022-06-26,-0.03,1,"Coding, Drink, Movies",0.143,20,3.0,0.129,3.0,3.0,18,0.061,3.0,0.04,30,-0.03,-0.003,0.0,0.197,3.0,3.0,0.834,9,0.327
11,4.6,48,93,0,"June 26, 2022 12:34 AM",2022-06-25,-0.03,1,"Blog, Happy, Productive",0.143,20,5.0,0.1658,4.6,4.0,25,0.058,5.0,0.056,133,-0.1299,-0.003,0.0,0.211,5.0,4.0,0.7979,11,0.327
4,2.2,38,115,0,"June 24, 2022 11:45 PM",2022-06-24,-0.03,1,"Break, Netflix, Relax",0.0,0,3.0,0.1106,2.2,2.0,0,0.06,2.0,-0.03,14,-0.014,-0.003,0.0,0.206,3.0,1.0,0.4186,11,0.119
11,2.2,47,64,0,"June 23, 2022 11:09 PM",2022-06-23,0.0,0,"Frustration, Job Search/Interview, Technology",0.0,0,2.0,0.1106,2.2,2.0,12,0.059,2.0,0.027,22,-0.022,-0.003,0.0,0.218,3.0,2.0,0.7016,12,0.312
10,3.8,53,160,0,"June 22, 2022 10:57 PM",2022-06-22,0.0,0,"Coding, Lethargic, Pathrise",0.143,20,4.0,0.1474,3.8,4.0,28,0.057,4.0,0.062,73,-0.0725,-0.003,0.0,0.195,4.0,3.0,0.8259,11,0.297
9,2.8,82,166,1,"June 21, 2022 11:27 PM",2022-06-21,0.0,0,"Coding, Technology, Youtube",0.143,20,3.0,0.1244,2.8,3.0,33,0.052,3.0,0.073,15,-0.015,-0.003,0.0,0.194,3.0,2.0,0.8954,9,0.327
9,4.6,64,79,0,"June 21, 2022 12:53 AM",2022-06-20,0.0,0,"Coding, Productive, Social",0.143,20,5.0,0.1658,4.6,4.0,15,0.055,5.0,0.033,36,-0.0359,-0.003,0.0,0.214,5.0,4.0,0.8989,9,0.327
10,4.2,34,22,0,"June 20, 2022 12:05 AM",2022-06-19,0.0,0,"Coding, Facetime, Grateful",0.143,20,4.0,0.1566,4.2,4.0,16,0.061,4.0,0.036,93,-0.0919,-0.003,0.0,0.227,5.0,4.0,0.8557,10,0.327
9,3.8,32,44,0,"June 19, 2022 12:11 AM",2022-06-18,0.0,0,"Coding, Project, Satisfied",0.143,20,4.0,0.1474,3.8,4.0,16,0.062,4.0,0.036,5,-0.005,-0.003,0.0,0.222,4.0,3.0,0.9294,9,0.327
7,4.0,112,159,0,"June 17, 2022 11:33 PM",2022-06-17,0.0,0,"Coding, Friends, Social",0.143,20,4.0,0.152,4.0,4.0,6,0.046,4.0,0.013,10,-0.01,0.012,1.02,0.196,5.0,3.0,0.781,10,0.229
9,3.2,72,94,0,"June 16, 2022 10:40 PM",2022-06-16,0.0,0,"Job Search/Interview, Lethargic, Relax",0.179,25,3.0,0.1336,3.2,3.0,0,0.054,4.0,-0.03,25,-0.025,-0.003,0.0,0.211,4.0,2.0,0.7746,12,0.255
6,1.8,40,146,0,"June 15, 2022 11:14 PM",2022-06-15,0.0,0,"Lazy, Lethargic, Technology",0.0,0,1.0,0.1014,1.8,2.0,0,0.06,2.0,-0.03,24,-0.024,-0.003,0.0,0.199,3.0,1.0,0.4604,13,0.157
11,2.8,53,195,0,"June 14, 2022 11:25 PM",2022-06-14,-0.03,1,"Data Analytics/Science, Exercise, Technology",0.107,15,2.0,0.1244,2.8,3.0,28,0.057,3.0,0.062,0,0.0,0.0141,1.2,0.187,4.0,2.0,0.8485,11,0.327
11,2.6,70,186,0,"June 13, 2022 11:57 PM",2022-06-13,0.0,0,"Exercise, Lethargic, Youtube",0.107,15,2.0,0.1198,2.6,3.0,13,0.054,3.0,0.029,-2,0.002,0.0128,1.09,0.189,3.0,2.0,0.8256,12,0.312
11,3.6,78,106,0,"June 13, 2022 12:39 AM",2022-06-12,0.0,0,"Busy, Job Search/Interview, Social",0.107,15,4.0,0.1428,3.6,3.0,27,0.052,3.0,0.06,-1,0.001,0.0182,1.55,0.208,4.0,4.0,0.901,12,0.312
12,3.2,65,268,0,"June 12, 2022 12:25 AM",2022-06-11,-0.03,1,"Coding, Project, Technology",0.107,15,4.0,0.1336,3.2,3.0,20,0.055,3.0,0.044,-5,0.005,0.0167,1.42,0.17,4.0,2.0,0.8153,13,0.314
12,3.4,86,212,0,"June 11, 2022 12:04 AM",2022-06-10,0.0,0,"Exercise, Lazy, Technology",0.107,15,3.0,0.1382,3.4,4.0,21,0.051,3.0,0.047,-11,0.011,0.0142,1.21,0.183,4.0,3.0,0.8914,12,0.34
