Finished,Multiple,Pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %,Key_words
1,1.8,40,559,0,07/30/2022 04:09,2022-07-29,-0.03,1,0.0,0,2.0,0.1014,1.8,2.0,0,0.06,2.0,-0.03,120,-0.0948,-0.003,0,0.103,2.0,1.0,0.1366,10,0.03,['Drink'-'Technology'-'Netflix']
0,1.0,25,262,0,07/29/2022 01:41,2022-07-28,0.0,0,0.0,0,1.0,0.083,1.0,1.0,0,0.063,1.0,-0.03,120,-0.0948,-0.003,0,0.172,1.0,1.0,0.1902,6,0.0,['Lazy'-'Technology'-'Unmotivated']
6,2.4,66,254,0,07/28/2022 04:54,2022-07-27,0.0,0,0.0,0,2.0,0.1152,2.4,2.0,0,0.055,2.0,-0.03,60,-0.0479,-0.003,0,0.173,4.0,2.0,0.4043,13,0.142,['Friends'-'Technology'-'Tired']
1,1.2,57,141,0,07/27/2022 03:54,2022-07-26,0.0,0,0.0,0,1.0,0.0876,1.2,1.0,0,0.057,1.0,-0.03,135,-0.1064,-0.003,0,0.2,2.0,1.0,0.2382,9,0.033,['Technology'-'Lazy'-'Unmotivated']
3,2.4,58,275,0,07/26/2022 04:45,2022-07-25,0.0,0,0.0,0,2.0,0.1152,2.4,2.0,0,0.056,2.0,-0.03,210,-0.162,-0.003,0,0.169,4.0,2.0,0.2342,10,0.089,['Meetings'-'Technology'-'Lazy']
2,2.6,44,184,0,07/25/2022 04:35,2022-07-24,-0.03,1,0.0,0,3.0,0.1198,2.6,2.0,0,0.059,2.0,-0.03,120,-0.0948,-0.003,0,0.19,4.0,2.0,0.296,7,0.085,['Technology'-'Drink'-'Lazy']
1,1.8,22,330,0,07/24/2022 04:05,2022-07-23,-0.03,1,0.0,0,2.0,0.1014,1.8,2.0,0,0.064,2.0,-0.03,190,-0.1475,-0.003,0,0.156,2.0,1.0,0.1439,9,0.033,['Technology'-'Break'-'Relax']
7,3.4,82,290,0,07/23/2022 03:56,2022-07-22,-0.03,1,0.143,20,3.0,0.1382,3.4,4.0,24,0.052,3.0,0.049,127,-0.1002,-0.003,0,0.165,4.0,3.0,0.594,12,0.18,['Friends'-'Poker'-'Fun']
11,4.0,49,155,0,07/22/2022 02:43,2022-07-21,0.0,0,0.07,10,4.0,0.152,4.0,4.0,29,0.058,4.0,0.061,74,-0.0589,-0.003,0,0.197,5.0,3.0,0.7371,13,0.261,['Meetings'-'Motivated'-'Data Analytics/Science']
11,4.4,47,188,0,07/21/2022 02:03,2022-07-20,0.0,0,0.143,20,5.0,0.1612,4.4,4.0,41,0.059,4.0,0.091,-31,0.0248,-0.003,0,0.189,5.0,4.0,0.948,12,0.283,['Coding'-'Job Search/Interview'-'Satisfied']
12,4.8,87,197,0,07/20/2022 02:08,2022-07-19,0.0,0,0.143,20,5.0,0.1704,4.8,5.0,31,0.051,5.0,0.066,60,-0.0479,-0.003,0,0.187,5.0,4.0,0.8755,12,0.309,['Job Search/Interview'-'Focused'-'Productive']
11,4.8,71,102,0,07/19/2022 03:12,2022-07-18,0.0,0,0.181,30,5.0,0.1704,4.8,5.0,36,0.054,5.0,0.078,30,-0.024,-0.003,0,0.209,5.0,4.0,0.9634,11,0.298,['Productive'-'Focused'-'Data Analytics/Science']
4,1.4,55,438,0,07/18/2022 12:33,2022-07-17,0.0,0,0.143,20,2.0,0.0922,1.4,1.0,0,0.057,1.0,-0.03,152,-0.1193,-0.003,0,0.131,2.0,1.0,0.4409,7,0.17,['Technology'-'Relax'-'Youtube']
0,1.0,15,531,0,07/17/2022 06:25,2022-07-16,0.0,0,0.0,0,1.0,0.083,1.0,1.0,0,0.065,1.0,-0.03,213,-0.1641,-0.003,0,0.109,1.0,1.0,0.0599,9,0.0,['Technology'-'Relax'-'Lazy']
0,1.4,23,432,0,07/16/2022 04:34,2022-07-15,0.0,0,0.0,0,1.0,0.0922,1.4,1.0,0,0.063,1.0,-0.03,262,-0.1981,-0.003,0,0.132,3.0,1.0,0.0561,10,0.0,['Technology'-'Lazy'-'Relax']
1,1.0,44,27,0,07/15/2022 02:43,2022-07-14,0.0,0,0.0,0,1.0,0.083,1.0,1.0,0,0.059,1.0,-0.03,100,-0.0793,-0.003,0,0.226,1.0,1.0,0.2817,12,0.026,['Relax'-'Technology'-'Lazy']
1,1.4,41,215,0,07/14/2022 03:28,2022-07-13,0.0,0,0.0,0,1.0,0.0922,1.4,1.0,0,0.06,1.0,-0.03,180,-0.1401,-0.003,0,0.183,3.0,1.0,0.1861,13,0.024,['Technology'-'Netflix'-'Relax']
0,1.2,40,32,0,07/13/2022 04:38,2022-07-12,-0.03,1,0.0,0,2.0,0.0876,1.2,1.0,0,0.06,1.0,-0.03,180,-0.1401,-0.003,0,0.225,1.0,1.0,0.1695,10,0.0,['Technology'-'Relax'-'Netflix']
7,3.6,40,89,0,07/11/2022 17:35,2022-07-10,-0.03,1,0.0,0,4.0,0.1428,3.6,3.0,0,0.06,3.0,-0.03,160,-0.1253,-0.003,0,0.212,5.0,3.0,0.4345,10,0.208,['Drink'-'Friends'-'Social']
10,3.8,49,197,0,07/10/2022 05:18,2022-07-09,0.0,0,0.143,20,3.0,0.1474,3.8,4.0,30,0.058,4.0,0.063,96,-0.0762,-0.003,0,0.187,5.0,3.0,0.7902,11,0.271,['Movies'-'Social'-'Data Analytics/Science']
12,4.0,76,169,0,07/09/2022 05:21,2022-07-08,0.0,0,0.143,20,4.0,0.152,4.0,4.0,24,0.053,4.0,0.049,139,-0.1094,-0.003,0,0.193,5.0,3.0,0.7866,12,0.309,['Study'-'Movies'-'Satisfied']
12,4.2,60,94,0,07/08/2022 04:09,2022-07-07,0.0,0,0.143,20,4.0,0.1566,4.2,4.0,18,0.056,4.0,0.035,82,-0.0652,-0.003,0,0.211,5.0,4.0,0.8184,13,0.285,['Data Analytics/Science'-'Workshops'-'Productive']
12,4.0,50,119,0,07/07/2022 04:11,2022-07-06,0.0,0,0.143,20,4.0,0.152,4.0,4.0,19,0.058,4.0,0.037,155,-0.1215,-0.003,0,0.205,4.0,4.0,0.7795,12,0.309,['Data Analytics/Science'-'Productive'-'Coding']
11,3.8,39,218,0,07/06/2022 02:18,2022-07-05,0.0,0,0.109,15,4.0,0.1474,3.8,4.0,19,0.06,4.0,0.037,50,-0.0399,-0.003,0,0.182,4.0,3.0,0.7905,11,0.298,['Coding'-'Data Analytics/Science'-'Focused']
6,3.4,45,67,0,07/05/2022 05:01,2022-07-04,0.0,0,0.109,15,3.0,0.1382,3.4,3.0,0,0.059,3.0,-0.03,180,-0.1401,-0.003,0,0.217,4.0,4.0,0.5291,10,0.179,['Friends'-'Project'-'Grateful']
3,2.0,18,79,0,07/04/2022 05:18,2022-07-03,0.0,0,0.0,0,2.0,0.106,2.0,2.0,0,0.064,2.0,-0.03,144,-0.1132,-0.003,0,0.214,3.0,1.0,0.3188,11,0.081,['Youtube'-'Project'-'Lazy']
2,1.6,26,66,0,06/02/2022 03:47,2022-07-02,0.0,0,0.0,0,2.0,0.0968,1.6,2.0,0,0.063,2.0,-0.03,191,-0.1482,-0.003,0,0.217,1.0,1.0,0.2556,10,0.06,['Break'-'Technology'-'Lethargic']
